IATA	ID	Name	City	Country	ICAO
CSO	7933	Cochstedt Airport	Cochstedt	Germany	EDBC
CSV	11827	Crossville Memorial Whitson Field	Crossville	United States	KCSV
CSX	3371	Changsha Huanghua International Airport	Changcha	China	ZGHA
CSY	6162	Cheboksary Airport	Cheboksary	Russia	UWKS
CTA	1509	Catania-Fontanarossa Airport	Catania	Italy	LICC
CTB	3470	Cut Bank International Airport	Cutbank	United States	KCTB
CTC	2455	Catamarca Airport	Catamarca	Argentina	SANC
CTD	5838	Alonso Valderrama Airport	Chitr??	Panama	MPCE
CTG	2714	Rafael Nu??ez International Airport	Cartagena	Colombia	SKCG
CTH	8772	Chester County G O Carlson Airport	Coatesville	United States	KMQS
CTJ	8300	West Georgia Regional O V Gray Field	Carrollton	United States	KCTJ
CTL	3323	Charleville Airport	Charlieville	Australia	YBCV
CTM	1793	Chetumal International Airport	Chetumal	Mexico	MMCM
CTN	6257	Cooktown Airport	Cooktown	Australia	YCKN
CTS	2287	New Chitose Airport	Sapporo	Japan	RJCC
CTT	1357	Le Castellet Airport	Le Castellet	France	LFMQ
CTU	3395	Chengdu Shuangliu International Airport	Chengdu	China	ZUUU
CTY	8801	Cross City Airport	Cross City	United States	KCTY
CUA	5835	Ciudad Constituci??n Airport	Ciudad Constituci??n	Mexico	MMDA
CUB	10128	Jim Hamilton L.B. Owens Airport	Columbia	United States	KCUB
CUC	2713	Camilo Daza International Airport	Cucuta	Colombia	SKCC
CUE	2671	Mariscal Lamar Airport	Cuenca	Ecuador	SECU
CUF	1534	Cuneo International Airport	Cuneo	Italy	LIMZ
CUL	1792	Bachigualato Federal International Airport	Culiacan	Mexico	MMCL
CUM	2835	Cuman?í (Antonio Jos?? de Sucre) Airport	Cumana	Venezuela	SVCU
CUN	1852	Canc??n International Airport	Cancun	Mexico	MMUN
CUP	2832	General Francisco Berm??dez Airport	Carupano	Venezuela	SVCP
CUQ	6260	Coen Airport	Coen	Australia	YCOE
CUR	2897	Hato International Airport	Willemstad	Netherlands Antilles	TNCC
CUU	1797	General Roberto Fierro Villalobos International Airport	Chihuahua	Mexico	MMCU
CUZ	2812	Alejandro Velasco Astete International Airport	Cuzco	Peru	SPZO
CVC	12016	Cleve Airport		Australia	YCEE
CVE	11939	Cove??as Airport	Cove??as	Colombia	SKCV
CVF	6479	Courchevel Airport	Courcheval	France	LFLJ
CVG	3488	Cincinnati Northern Kentucky International Airport	Cincinnati	United States	KCVG
CVJ	1787	General Mariano Matamoros Airport	Cuernavaca	Mexico	MMCB
CVM	1798	General Pedro Jose Mendez International Airport	Ciudad Victoria	Mexico	MMCV
CVN	4223	Clovis Municipal Airport	Clovis	United States	KCVN
CVO	9488	Corvallis Municipal Airport	Corvallis	United States	KCVO
CVQ	6251	Carnarvon Airport	Carnarvon	Australia	YCAR
CVS	3834	Cannon Air Force Base	Clovis	United States	KCVS
CVT	470	Coventry Airport	Coventry	United Kingdom	EGBE
CVU	5793	Corvo Airport	Corvo	Portugal	LPCR
CVX	8162	Charlevoix Municipal Airport	Charelvoix	United States	KCVX
CWA	4045	Central Wisconsin Airport	Wassau	United States	KCWA
CWB	2545	Afonso Pena Airport	Curitiba	Brazil	SBCT
CWC	6107	Chernivtsi International Airport	Chernovtsk	Ukraine	UKLN
CWI	8655	Clinton Municipal Airport	Clinton	United States	KCWI
CWL	488	Cardiff International Airport	Cardiff	United Kingdom	EGFF
CWT	9533	Cowra Airport	Chatsworth	United States	YCWR
CWW	12017	Corowa Airport		Australia	YCOR
CXB	3068	Cox's Bazar Airport	Cox's Bazar	Bangladesh	VGCB
CXH	5500	Vancouver Harbour Water Aerodrome	Vancouver	Canada	CYHC
CXI	2252	Cassidy International Airport	Kiritimati	Kiribati	PLCH
CXJ	2547	Hugo Cantergiani Regional Airport	Caxias Do Sul	Brazil	SBCX
CXL	3709	Calexico International Airport	Calexico	United States	KCXL
CXO	3619	Lone Star Executive Airport	Conroe	United States	KCXO
CXP	3899	Tunggul Wulung Airport	Cilacap	Indonesia	WIHL
CXR	6189	Cam Ranh Airport	Nha Trang	Vietnam	VVCR
CXY	8284	Capital City Airport	Harrisburg	United States	KCXY
CYB	1925	Gerrard Smith International Airport	Cayman Brac	Cayman Islands	MWCB
CYF	6960	Chefornak Airport	Chefornak	United States	PACK
CYG	12018	Corryong Airport		Australia	YCRG
CYI	2265	Chiayi Airport	Chiayi	Taiwan	RCKU
CYO	1903	Vilo Acu??a International Airport	Cayo Largo del Sur	Cuba	MUCL
CYP	6023	Calbayog Airport	Calbayog City	Philippines	RPVC
CYR	7123	Laguna de Los Patos International Airport	Colonia	Uruguay	SUCA
CYS	3804	Cheyenne Regional Jerry Olson Field	Cheyenne	United States	KCYS
CYT	7198	Yakataga Airport	Yakataga	United States	PACY
CYU	6010	Cuyo Airport	Cuyo	Philippines	RPLO
CYW	5834	Captain Rogelio Castillo National Airport	Celaya	Mexico	MMCY
CYX	6094	Cherskiy Airport	Cherskiy	Russia	UESS
CYZ	6733	Cauayan Airport	Cauayan	Philippines	RPUY
CZA	10114	Chichen Itza International Airport	Chichen Itza	Mexico	MMCT
CZE	2833	Jos?? Leonardo Chirinos Airport	Coro	Venezuela	SVCR
CZF	3424	Cape Romanzof LRRS Airport	Cape Romanzof	United States	PACZ
CZG	9419	Tri Cities Airport	Endicott	United States	KCZG
CZL	221	Mohamed Boudiaf International Airport	Constantine	Algeria	DABC
CZM	1800	Cozumel International Airport	Cozumel	Mexico	MMCZ
CZS	2549	Cruzeiro do Sul Airport	Cruzeiro do Sul	Brazil	SBCZ
CZU	2717	Las Brujas Airport	Corozal	Colombia	SKCZ
CZX	4109	Changzhou Benniu Airport	Changzhou	China	ZSCG
DAA	11828	Davison Army Air Field	Fort Belvoir	United States	KDAA
DAB	3950	Daytona Beach International Airport	Daytona Beach	United States	KDAB
DAC	3076	Dhaka / Hazrat Shahjalal International Airport	Dhaka	Bangladesh	VGZR
DAD	3196	Da Nang International Airport	Danang	Vietnam	VVDN
DAG	11829	Barstow Daggett Airport	Daggett	United States	KDAG
DAL	3502	Dallas Love Field	Dallas	United States	KDAL
